title,author,length
The Lion: Son of the Forest,By: Mike Brooks,Length: 12 hrs and 15 mins
From the Grave,By: Kresley Cole,Length: 11 hrs and 54 mins
Resources Book,By: Stephen Todd Steinman,Length: 5 hrs and 14 mins
Azarinth Healer: Book Two,By: Rhaegar,Length: 19 hrs and 22 mins
Waybound,By: Will Wight,Length: 16 hrs and 13 mins
Dr. Perfect,By: Louise Bay,Length: 7 hrs and 45 mins
The Worst Wedding Date,By: Pippa Grant,Length: 12 hrs and 40 mins
The Greatness Mindset,By: Lewis Howes,Length: 9 hrs and 7 mins
Why Women Deserve Less,By: Myron Gaines,Length: 2 hrs and 3 mins
Highest Bidder,By: Sara Cate,Length: 10 hrs and 2 mins
Fated,By: K. M. Shea,Length: 10 hrs and 47 mins
Champagne Venom,By: Nicole Fox,Length: 13 hrs and 59 mins
Disruptive Thinking,By: T. D. Jakes,Length: 9 hrs
Only the Dead,By: Jack Carr,Length: 15 hrs and 30 mins
Who Cries for the Lost,By: C.S. Harris,Length: 11 hrs
The Summer We Fell,By: Elizabeth O'Roark,Length: 9 hrs and 11 mins
Does It Hurt?,By: H. D. Carlton,Length: 12 hrs and 7 mins
Death Dates the Oracle,By: Kristen Painter,Length: 8 hrs and 27 mins
The Delphi Murders,"By: Nic Edwards, Brian Whitney",Length: 6 hrs and 57 mins
From the World of Percy Jackson: Sun and the Star,"By: Rick Riordan, Mark Oshiro",Length: 13 hrs and 30 mins
