title,author,length
1. Greenlights,By: Matthew McConaughey,Length: 6 hrs and 42 mins
2. Happy Place,By: Emily Henry,Length: 11 hrs and 3 mins
3. The Last Thing He Told Me,By: Laura Dave,Length: 8 hrs and 49 mins
4. Atomic Habits,By: James Clear,Length: 5 hrs and 35 mins
5. Lessons in Chemistry,By: Bonnie Garmus,Length: 11 hrs and 55 mins
6. Outlive,"By: Peter Attia MD, Bill Gifford - contributor",Length: 17 hrs and 7 mins
7. Simply Lies,By: David Baldacci,Length: 11 hrs and 45 mins
8. The Light We Carry,By: Michelle Obama,Length: 9 hrs and 59 mins
9. Spare,By: Prince Harry The Duke of Sussex,Length: 15 hrs and 39 mins
10. Remarkably Bright Creatures,By: Shelby Van Pelt,Length: 11 hrs and 16 mins
11. He Who Fights with Monsters 9,"By: Shirtaloon, Travis Deverell",Length: 28 hrs and 3 mins
12. I Will Teach You to Be Rich,By: Ramit Sethi,Length: 12 hrs and 8 mins
13. The Subtle Art of Not Giving a F*ck,By: Mark Manson,Length: 5 hrs and 17 mins
14. Hello Beautiful,By: Ann Napolitano,Length: 15 hrs and 6 mins
15. A Court of Mist and Fury,By: Sarah J. Maas,Length: 23 hrs and 16 mins
16. It Ends with Us,By: Colleen Hoover,Length: 11 hrs and 11 mins
17. A Court of Thorns and Roses,By: Sarah J. Maas,Length: 16 hrs and 7 mins
18. A Court of Wings and Ruin,By: Sarah J. Maas,Length: 25 hrs and 9 mins
19. Demon Copperhead,By: Barbara Kingsolver,Length: 21 hrs and 3 mins
20. The Lion: Son of the Forest,By: Mike Brooks,Length: 12 hrs and 15 mins
21. Can't Hurt Me,By: David Goggins,Length: 13 hrs and 37 mins
22. The Seven Husbands of Evelyn Hugo,By: Taylor Jenkins Reid,Length: 12 hrs and 10 mins
23. The Wager,By: David Grann,Length: 8 hrs and 28 mins
24. I'm Glad My Mom Died,By: Jennette McCurdy,Length: 6 hrs and 26 mins
25. Verity,By: Colleen Hoover,Length: 8 hrs and 10 mins
26. Never Finished,By: David Goggins,Length: 11 hrs and 6 mins
27. Small Changes,By: Alicia Witt,Length: 8 hrs and 24 mins
"28. Harry Potter and the Sorcerer's Stone, Book 1",By: J.K. Rowling,Length: 8 hrs and 18 mins
29. Torrent Witches Cozy Mysteries Complete Box Set: Books 1-10,By: Tess Lake,Length: 65 hrs and 31 mins
30. It Starts with Us,By: Colleen Hoover,Length: 8 hrs and 41 mins
31. The Housemaid,By: Freida McFadden,Length: 9 hrs and 46 mins
32. 12 Rules for Life,"By: Jordan B. Peterson, Norman Doidge MD",Length: 15 hrs and 40 mins
33. The Body Keeps the Score,By: Bessel A. van der Kolk,Length: 16 hrs and 15 mins
34. Mad Honey,"By: Jodi Picoult, Jennifer Finney Boylan",Length: 15 hrs and 12 mins
35. Daisy Jones & The Six,By: Taylor Jenkins Reid,Length: 9 hrs and 3 mins
36. Soul Boom,By: Rainn Wilson,Length: 9 hrs and 3 mins
37. Think and Grow Rich,By: Napoleon Hill,Length: 9 hrs and 35 mins
38. Fairy Tale,By: Stephen King,Length: 24 hrs and 6 mins
"39. Tomorrow, and Tomorrow, and Tomorrow",By: Gabrielle Zevin,Length: 13 hrs and 52 mins
40. Tears of Liscor,By: pirateaba,Length: 45 hrs and 21 mins
"41. Harry Potter and the Chamber of Secrets, Book 2",By: J.K. Rowling,Length: 9 hrs and 2 mins
42. How to Win Friends & Influence People,By: Dale Carnegie,Length: 7 hrs and 15 mins
43. You Shouldn’t Have Come Here,By: Jeneva Rose,Length: 8 hrs and 1 min
