title,author,length
Cypher: Lord of the Fallen,John French,Length: 5 hrs and 8 mins
Too Late,Colleen Hoover,Length: 10 hrs and 19 mins
Her Perfect Twin,Sarah Bonner,Length: 9 hrs and 56 mins
48 Laws of Power,Robert Greene,Length: 23 hrs and 6 mins
Birds in Flight,Anni Taylor,Length: 11 hrs and 7 mins
Fourth Wing,Rebecca Yarros,Length: 20 hrs and 43 mins
Everything,Dakota Krout,Length: 13 hrs and 42 mins
"Harry Potter and the Sorcerer's Stone, Book 1",J.K. Rowling,Length: 8 hrs and 18 mins
Something Unexpected,Vi Keeland,Length: 8 hrs and 39 mins
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,Length: 12 hrs and 10 mins
Extreme Ownership,"Jocko Willink,Leif Babin",Length: 9 hrs and 33 mins
Never Split the Difference,Chris Voss,Length: 8 hrs and 7 mins
The Covenant of Water,Abraham Verghese,Length: 31 hrs and 16 mins
Killers of the Flower Moon,David Grann,Length: 9 hrs and 4 mins
Magic Tides & Magic Claims,Ilona Andrews,Length: 12 hrs and 21 mins
Think and Grow Rich,Napoleon Hill,Length: 9 hrs and 35 mins
Identity,Nora Roberts,Length: 15 hrs and 4 mins
The Five-Star Weekend,Elin Hilderbrand,Length: 12 hrs and 45 mins
Wool,Hugh Howey,Length: 15 hrs
Murder in Bermuda,"James Patterson,Aaron Tracy,Thaddeus McCants",Length: 4 hrs
The Four Agreements,don Miguel Ruiz,Length: 2 hrs and 31 mins
The Summer Palace,Kristen Painter,Length: 9 hrs and 37 mins
How to Win Friends & Influence People,Dale Carnegie,Length: 7 hrs and 15 mins
Dune,Frank Herbert,Length: 21 hrs and 2 mins
The Subtle Art of Not Giving a F*ck,Mark Manson,Length: 5 hrs and 17 mins
The Nightingale,Kristin Hannah,Length: 17 hrs and 19 mins
How to Talk to Anyone,Leil Lowndes,Length: 8 hrs and 59 mins
Unfu*k Yourself,Gary John Bishop,Length: 3 hrs and 24 mins
American Prometheus,"Kai Bird,Martin J. Sherwin",Length: 26 hrs and 30 mins
Dragon Heist,Alexander C. Kane,Length: 9 hrs and 7 mins
The Untethered Soul,Michael A. Singer,Length: 6 hrs and 11 mins
Sapiens,Yuval Noah Harari,Length: 15 hrs and 18 mins
It Ends with Us,Colleen Hoover,Length: 11 hrs and 11 mins
The Alchemist,Paulo Coelho,Length: 4 hrs
Born a Crime,Trevor Noah,Length: 8 hrs and 44 mins
"Harry Potter and the Goblet of Fire, Book 4",J.K. Rowling,Length: 20 hrs and 36 mins
Beautiful Thorns,"Jaymin Eve,Tate James",Length: 10 hrs and 21 mins
Spare,Prince Harry The Duke of Sussex,Length: 15 hrs and 39 mins
Queen of Shadows,Sarah J. Maas,Length: 20 hrs and 43 mins
Obsessed,"James Patterson,James O. Born",Length: 7 hrs and 48 mins
A Game of Thrones,George R.R. Martin,Length: 33 hrs and 46 mins
"Harry Potter and the Order of the Phoenix, Book 5",J.K. Rowling,Length: 26 hrs and 28 mins
"Harry Potter and the Half-Blood Prince, Book 6",J.K. Rowling,Length: 18 hrs and 32 mins
"Harry Potter and the Deathly Hallows, Book 7",J.K. Rowling,Length: 21 hrs and 36 mins
Man's Search for Meaning,Viktor E. Frankl,Length: 4 hrs and 44 mins
The Last Wish,Andrzej Sapkowski,Length: 10 hrs and 17 mins
Red Rising,Pierce Brown,Length: 16 hrs and 12 mins
1984,George Orwell,Length: 11 hrs and 22 mins
Braiding Sweetgrass,Robin Wall Kimmerer,Length: 16 hrs and 44 mins
Pride and Prejudice,Jane Austen,Length: 11 hrs and 35 mins
The 7 Habits of Highly Effective People,Stephen R. Covey,Length: 13 hrs and 4 mins
"Harry Potter and the Chamber of Secrets, Book 2",J.K. Rowling,Length: 9 hrs and 2 mins
"Harry Potter and the Prisoner of Azkaban, Book 3",J.K. Rowling,Length: 11 hrs and 49 mins
