title,author,length
Cypher: Lord of the Fallen,John French,Length: 5 hrs and 8 mins
Too Late,Colleen Hoover,Length: 10 hrs and 19 mins
Her Perfect Twin,Sarah Bonner,Length: 9 hrs and 56 mins
48 Laws of Power,Robert Greene,Length: 23 hrs and 6 mins
Birds in Flight,Anni Taylor,Length: 11 hrs and 7 mins
Fourth Wing,Rebecca Yarros,Length: 20 hrs and 43 mins
Everything,Dakota Krout,Length: 13 hrs and 42 mins
"Harry Potter and the Sorcerer's Stone, Book 1",J.K. Rowling,Length: 8 hrs and 18 mins
Something Unexpected,Vi Keeland,Length: 8 hrs and 39 mins
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,Length: 12 hrs and 10 mins
Extreme Ownership,"Jocko Willink,Leif Babin",Length: 9 hrs and 33 mins
Never Split the Difference,Chris Voss,Length: 8 hrs and 7 mins
The Covenant of Water,Abraham Verghese,Length: 31 hrs and 16 mins
Killers of the Flower Moon,David Grann,Length: 9 hrs and 4 mins
Magic Tides & Magic Claims,Ilona Andrews,Length: 12 hrs and 21 mins
Think and Grow Rich,Napoleon Hill,Length: 9 hrs and 35 mins
Identity,Nora Roberts,Length: 15 hrs and 4 mins
